TimeFrame,Symbol,Candle,DateTime,Open,High,Low,Close,Volume,HL,Body
PERIOD_D1,XAUUSD,1112,2021.07.13 00:00,1806.09,1817.0,1798.6,1807.28,123222.0,1840.000000000009,119.00000000000546
PERIOD_D1,XAUUSD,1111,2021.07.14 00:00,1807.61,1829.68,1804.49,1827.6,138835.0,2519.0000000000055,1999.000000000001
PERIOD_D1,XAUUSD,1110,2021.07.15 00:00,1827.15,1834.01,1820.19,1829.49,149387.0,1381.9999999999936,233.99999999999181
PERIOD_D1,XAUUSD,1109,2021.07.16 00:00,1829.44,1831.99,1808.32,1811.48,125034.0,2367.0000000000073,1796.0000000000036
PERIOD_D1,XAUUSD,1108,2021.07.19 00:00,1811.58,1817.27,1794.94,1813.06,129289.0,2232.9999999999927,148.00000000000182
PERIOD_D1,XAUUSD,1107,2021.07.20 00:00,1812.68,1824.87,1804.98,1809.92,128416.0,1988.9999999999873,275.9999999999991
PERIOD_D1,XAUUSD,1106,2021.07.21 00:00,1810.4,1813.7,1794.64,1803.43,129238.0,1905.9999999999945,697.0000000000027
PERIOD_D1,XAUUSD,1105,2021.07.22 00:00,1803.44,1808.01,1792.68,1806.66,120000.0,1532.9999999999927,322.00000000000273
PERIOD_D1,XAUUSD,1104,2021.07.23 00:00,1807.06,1810.25,1789.87,1801.98,108094.0,2038.000000000011,507.9999999999927
PERIOD_D1,XAUUSD,1103,2021.07.26 00:00,1802.29,1811.42,1796.34,1797.29,120607.0,1508.0000000000155,500.0
PERIOD_D1,XAUUSD,1102,2021.07.27 00:00,1797.39,1805.22,1793.59,1798.8,124551.0,1163.000000000011,140.99999999998545
PERIOD_D1,XAUUSD,1101,2021.07.28 00:00,1798.5,1809.72,1792.53,1806.84,116327.0,1719.0000000000055,833.9999999999918
PERIOD_D1,XAUUSD,1100,2021.07.29 00:00,1806.82,1832.59,1806.52,1827.84,116872.0,2606.9999999999936,2101.999999999998
PERIOD_D1,XAUUSD,1099,2021.07.30 00:00,1828.0,1831.3,1810.22,1814.02,108992.0,2107.9999999999927,1398.0000000000018
PERIOD_D1,XAUUSD,1098,2021.08.02 00:00,1813.86,1819.49,1805.73,1813.01,119252.0,1375.999999999999,84.9999999999909
PERIOD_D1,XAUUSD,1097,2021.08.03 00:00,1812.87,1814.62,1807.07,1810.24,101021.0,754.9999999999955,262.9999999999882
PERIOD_D1,XAUUSD,1096,2021.08.04 00:00,1810.34,1831.66,1808.91,1823.37,69118.0,2275.0,1302.9999999999973
PERIOD_D1,XAUUSD,1095,2021.08.05 00:00,1811.83,1814.82,1797.77,1803.71,102154.0,1704.9999999999955,811.9999999999891
